file,timestamp,task_id,generation,is_final_pareto_config,error,category,model_size,quantization,temperature,top_p,num_predict,num_ctx,instruction,output_constraint,reasoning_scaffold,format_rule,test_hint
failure_20260329_144104_650756_task_122_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:04,122,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144105_671519_task_63_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:05,63,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144105_995550_task_184_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:05,184,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144107_266264_task_515_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:07,515,1,False,"SyntaxError: invalid syntax (<string>, line 1)",syntax_error,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144107_535716_task_668_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:07,668,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144107_851247_task_251_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:07,251,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144109_155498_task_602_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:09,602,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144110_232349_task_781_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:10,781,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144110_896642_task_773_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:10,773,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144111_377525_task_317_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:11,317,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144111_711617_task_78_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:11,78,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144112_447462_task_714_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:12,714,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144113_068465_task_298_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:13,298,1,False,TypeError: argument of type 'int' is not iterable,signature_or_type_error,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144114_927077_task_144_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:14,144,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
failure_20260329_144119_050334_task_28_qwen2.5-coder_1.5b-instruct-q4_K_M.json,2026-03-29 14:41:19,28,1,False,AssertionError: ,assertion_failure,1.5b,q4_K_M,0.0,0.9,192,1024,0,0,0,0,1
